Country,Month,Total Passengers
Honduras,10/01/2014,47203
Venezuela,10/01/2014,65446
El Salvador,10/01/2014,117605
Canada,10/01/2014,2212110
Colombia,10/01/2014,223378
Aruba,10/01/2014,102419
Atlantic Ocean,10/01/2014,40930
Spain,10/01/2014,230582
Ecuador,10/01/2014,93167
Jamaica,10/01/2014,208371
Ireland,10/01/2014,195217
Guatemala,10/01/2014,74613
Chile,10/01/2014,62756
Philippines,10/01/2014,61253
Trinidad and Tobago,10/01/2014,75892
Israel,10/01/2014,125965
Russia,10/01/2014,71497
New Zealand,10/01/2014,62654
Panama,10/01/2014,215194
Iceland,10/01/2014,61149
Turkey,10/01/2014,125209
Switzerland,10/01/2014,177213
Peru,10/01/2014,144118
United Kingdom,10/01/2014,1555156
Costa Rica,10/01/2014,112811
Japan,10/01/2014,909403
Denmark,10/01/2014,80273
China,10/01/2014,416937
Hong Kong,10/01/2014,244112
Australia,10/01/2014,240440
Venezuela,09/01/2014,64899
Philippines,09/01/2014,53743
New Zealand,09/01/2014,65721
Taiwan,09/01/2014,156846
Australia,09/01/2014,233565
Hong Kong,09/01/2014,232345
Trinidad and Tobago,09/01/2014,75422
Israel,09/01/2014,112943
Denmark,09/01/2014,82044
Atlantic Ocean,09/01/2014,45257
Honduras,09/01/2014,48052
El Salvador,09/01/2014,117115
Argentina,09/01/2014,112281
Haiti,09/01/2014,78777
Bahamas,09/01/2014,125387
Guatemala,09/01/2014,66803
Panama,09/01/2014,202208
Jamaica,09/01/2014,186423
Russia,09/01/2014,74692
Japan,09/01/2014,954413
Cayman Islands,09/01/2014,34658
South Korea,09/01/2014,427500
Netherlands,09/01/2014,473275
Peru,09/01/2014,141459
Italy,09/01/2014,329031
Costa Rica,09/01/2014,111770
Spain,09/01/2014,277837
Germany,09/01/2014,1018155
Aruba,09/01/2014,87321
Dominican Republic,09/01/2014,368988
United Arab Emirates,09/01/2014,268782
Brazil,09/01/2014,421903
Iceland,09/01/2014,81404
Canada,09/01/2014,2078825
Antilles,09/01/2014,51603
China,09/01/2014,434838
United Kingdom,09/01/2014,1600075
Belgium,09/01/2014,110551
Colombia,09/01/2014,222021
Turkey,09/01/2014,127654
Switzerland,09/01/2014,185474
Ecuador,09/01/2014,92564
Chile,09/01/2014,63263
Ireland,09/01/2014,232904
France,09/01/2014,525750
Mexico,09/01/2014,1259344
Switzerland,08/01/2014,208544
Argentina,08/01/2014,115970
Turkey,08/01/2014,147095
Italy,08/01/2014,366801
Ecuador,08/01/2014,103945
Chile,08/01/2014,69643
Panama,08/01/2014,243056
Costa Rica,08/01/2014,192317
Cayman Islands,08/01/2014,65989
United Kingdom,08/01/2014,1773586
Peru,08/01/2014,157698
Honduras,08/01/2014,74496
El Salvador,08/01/2014,163444
Haiti,08/01/2014,121513
Dominican Republic,08/01/2014,625215
South Korea,08/01/2014,526530
Germany,08/01/2014,1092294
Bahamas,08/01/2014,279802
Canada,08/01/2014,2515553
Mexico,08/01/2014,1952742
Ireland,08/01/2014,267876
Japan,08/01/2014,1084061
Jamaica,08/01/2014,342485
Guatemala,08/01/2014,99047
Colombia,08/01/2014,277629
Brazil,08/01/2014,468425
Belgium,08/01/2014,123436
Antilles,08/01/2014,95873
United Arab Emirates,08/01/2014,334379
France,08/01/2014,742090
Venezuela,08/01/2014,60937
Atlantic Ocean,08/01/2014,73800
Russia,08/01/2014,92674
China,08/01/2014,525942
Iceland,08/01/2014,110416
Netherlands,08/01/2014,490093
Spain,08/01/2014,335223
Aruba,08/01/2014,123823
Australia,08/01/2014,227404
Denmark,08/01/2014,100170
Trinidad and Tobago,08/01/2014,113430
Hong Kong,08/01/2014,283229
Israel,08/01/2014,121717
Taiwan,08/01/2014,214933
New Zealand,08/01/2014,64706
Philippines,08/01/2014,66529
Germany,07/01/2014,1081344
Bahamas,07/01/2014,284891
Spain,07/01/2014,330702
Italy,07/01/2014,365581
Netherlands,07/01/2014,469837
Russia,07/01/2014,92620
South Korea,07/01/2014,491001
Iceland,07/01/2014,109672
Japan,07/01/2014,973837
Canada,07/01/2014,2420844
Colombia,07/01/2014,294830
Guatemala,07/01/2014,116206
Mexico,07/01/2014,2203681
Aruba,07/01/2014,127498
Dominican Republic,07/01/2014,673212
Panama,07/01/2014,259218
El Salvador,07/01/2014,176754
Honduras,07/01/2014,90867
Ireland,07/01/2014,266284
Jamaica,07/01/2014,365340
Haiti,07/01/2014,127459
United Arab Emirates,07/01/2014,278495
Switzerland,07/01/2014,206524
Atlantic Ocean,07/01/2014,72167
Ecuador,07/01/2014,103359
Australia,07/01/2014,238672
Antilles,07/01/2014,100404
Israel,07/01/2014,117968
Brazil,07/01/2014,476103
Belgium,07/01/2014,118539
Venezuela,07/01/2014,63821
Turkey,07/01/2014,144836
China,07/01/2014,501521
France,07/01/2014,737128
Hong Kong,07/01/2014,251219
Chile,07/01/2014,69052
Costa Rica,07/01/2014,239812
New Zealand,07/01/2014,71871
United Kingdom,07/01/2014,1684733
Peru,07/01/2014,154490
Trinidad and Tobago,07/01/2014,98955
Taiwan,07/01/2014,204914
Denmark,07/01/2014,102907
Cayman Islands,07/01/2014,83617
Philippines,07/01/2014,69952
Argentina,07/01/2014,118484
Netherlands,06/01/2014,471489
Australia,06/01/2014,226106
Honduras,06/01/2014,83865
Japan,06/01/2014,974682
Aruba,06/01/2014,104283
El Salvador,06/01/2014,152310
Hong Kong,06/01/2014,238133
Iceland,06/01/2014,96533
Germany,06/01/2014,1043197
Ireland,06/01/2014,261607
Dominican Republic,06/01/2014,552153
China,06/01/2014,468622
Philippines,06/01/2014,69529
Mexico,06/01/2014,1911447
France,06/01/2014,711019
Canada,06/01/2014,2178456
Trinidad and Tobago,06/01/2014,80855
Israel,06/01/2014,135160
Jamaica,06/01/2014,300188
Ecuador,06/01/2014,88243
Haiti,06/01/2014,97554
Bahamas,06/01/2014,246916
Denmark,06/01/2014,94761
Taiwan,06/01/2014,195292
Guatemala,06/01/2014,105482
Cayman Islands,06/01/2014,72076
Turkey,06/01/2014,141910
Russia,06/01/2014,87075
South Korea,06/01/2014,470872
Italy,06/01/2014,357237
Venezuela,06/01/2014,88666
Argentina,06/01/2014,101229
United Arab Emirates,06/01/2014,293576
Switzerland,06/01/2014,189562
Costa Rica,06/01/2014,203557
Chile,06/01/2014,63366
Peru,06/01/2014,147755
Panama,06/01/2014,221977
United Kingdom,06/01/2014,1667202
New Zealand,06/01/2014,64404
Belgium,06/01/2014,118843
Antilles,06/01/2014,82639
Colombia,06/01/2014,256467
Spain,06/01/2014,307929
Atlantic Ocean,06/01/2014,63255
Brazil,06/01/2014,443975
Haiti,05/01/2014,82056
Netherlands,05/01/2014,446519
Jamaica,05/01/2014,270740
New Zealand,05/01/2014,62696
Bahamas,05/01/2014,217962
Italy,05/01/2014,298995
El Salvador,05/01/2014,129899
Guatemala,05/01/2014,86207
Cayman Islands,05/01/2014,68526
Argentina,05/01/2014,118032
France,05/01/2014,630965
Colombia,05/01/2014,220293
Antilles,05/01/2014,95115
Russia,05/01/2014,78391
Atlantic Ocean,05/01/2014,54512
Ecuador,05/01/2014,86476
Spain,05/01/2014,252565
Venezuela,05/01/2014,102106
Brazil,05/01/2014,457469
United Arab Emirates,05/01/2014,287149
Canada,05/01/2014,2187522
Ireland,05/01/2014,215244
Mexico,05/01/2014,1813133
Belgium,05/01/2014,112848
Aruba,05/01/2014,104341
Turkey,05/01/2014,125424
Denmark,05/01/2014,80933
Costa Rica,05/01/2014,171534
Trinidad and Tobago,05/01/2014,75343
Iceland,05/01/2014,64190
Japan,05/01/2014,914335
China,05/01/2014,450184
Hong Kong,05/01/2014,236077
Australia,05/01/2014,220220
Germany,05/01/2014,1001210
Panama,05/01/2014,209166
Peru,05/01/2014,159599
United Kingdom,05/01/2014,1587852
Chile,05/01/2014,69676
South Korea,05/01/2014,433150
Switzerland,05/01/2014,173204
Taiwan,05/01/2014,188146
Israel,05/01/2014,125677
Honduras,05/01/2014,64003
Philippines,05/01/2014,73490
Dominican Republic,05/01/2014,495256
Russia,04/01/2014,72557
New Zealand,04/01/2014,57638
Guatemala,04/01/2014,93547
Hong Kong,04/01/2014,220191
Turkey,04/01/2014,110647
Israel,04/01/2014,117927
Trinidad and Tobago,04/01/2014,75162
Taiwan,04/01/2014,163837
Honduras,04/01/2014,65843
El Salvador,04/01/2014,137466
Mexico,04/01/2014,1912284
Ireland,04/01/2014,171565
Haiti,04/01/2014,87387
Canada,04/01/2014,2265515
Australia,04/01/2014,213062
Peru,04/01/2014,137779
Italy,04/01/2014,243701
Antilles,04/01/2014,106037
United Arab Emirates,04/01/2014,249318
Dominican Republic,04/01/2014,483014
Argentina,04/01/2014,111060
Japan,04/01/2014,816727
Iceland,04/01/2014,50608
Brazil,04/01/2014,419188
Colombia,04/01/2014,219186
Philippines,04/01/2014,70139
Venezuela,04/01/2014,95243
Jamaica,04/01/2014,269961
Belgium,04/01/2014,106813
Germany,04/01/2014,794898
Ecuador,04/01/2014,86032
France,04/01/2014,561739
Costa Rica,04/01/2014,214007
Atlantic Ocean,04/01/2014,47099
Aruba,04/01/2014,108544
China,04/01/2014,397534
Chile,04/01/2014,64733
Switzerland,04/01/2014,159886
Spain,04/01/2014,229181
South Korea,04/01/2014,393502
United Kingdom,04/01/2014,1459785
Netherlands,04/01/2014,372500
Bahamas,04/01/2014,240636
Panama,04/01/2014,209956
Denmark,04/01/2014,71206
Cayman Islands,04/01/2014,75579
Aruba,03/01/2014,121228
Colombia,03/01/2014,216167
New Zealand,03/01/2014,62380
Mexico,03/01/2014,2158919
Japan,03/01/2014,1034772
China,03/01/2014,376985
Brazil,03/01/2014,422228
Belgium,03/01/2014,89893
Canada,03/01/2014,2430294
Philippines,03/01/2014,65810
Antilles,03/01/2014,124625
Denmark,03/01/2014,56368
Hong Kong,03/01/2014,206594
Australia,03/01/2014,205988
Atlantic Ocean,03/01/2014,36836
Peru,03/01/2014,155918
Trinidad and Tobago,03/01/2014,75731
Spain,03/01/2014,177127
Netherlands,03/01/2014,325064
Guatemala,03/01/2014,99622
Ecuador,03/01/2014,87729
Costa Rica,03/01/2014,273505
Israel,03/01/2014,113654
Taiwan,03/01/2014,158272
Iceland,03/01/2014,50471
Germany,03/01/2014,729490
Ireland,03/01/2014,136156
Dominican Republic,03/01/2014,507021
Cayman Islands,03/01/2014,89502
South Korea,03/01/2014,387206
Argentina,03/01/2014,121404
Honduras,03/01/2014,74176
Italy,03/01/2014,168067
Haiti,03/01/2014,97143
El Salvador,03/01/2014,146491
Panama,03/01/2014,231957
United Arab Emirates,03/01/2014,251248
Bahamas,03/01/2014,258655
Chile,03/01/2014,78556
Jamaica,03/01/2014,279511
Venezuela,03/01/2014,79598
Russia,03/01/2014,72861
United Kingdom,03/01/2014,1238278
Turkey,03/01/2014,94511
France,03/01/2014,450679
Switzerland,03/01/2014,150260
France,02/01/2014,318204
Venezuela,02/01/2014,98976
Aruba,02/01/2014,101336
Ecuador,02/01/2014,73707
Japan,02/01/2014,871467
Philippines,02/01/2014,63275
Germany,02/01/2014,538639
United Arab Emirates,02/01/2014,202677
Jamaica,02/01/2014,211674
Guatemala,02/01/2014,77367
Colombia,02/01/2014,186166
Haiti,02/01/2014,71871
Belgium,02/01/2014,62437
Mexico,02/01/2014,1547864
Canada,02/01/2014,2062572
Antilles,02/01/2014,104856
Honduras,02/01/2014,55127
Dominican Republic,02/01/2014,395774
Brazil,02/01/2014,383777
Netherlands,02/01/2014,246879
El Salvador,02/01/2014,113571
Atlantic Ocean,02/01/2014,26264
Australia,02/01/2014,184195
Hong Kong,02/01/2014,179049
Iceland,02/01/2014,29718
Turkey,02/01/2014,78975
Israel,02/01/2014,92934
Denmark,02/01/2014,33386
Trinidad and Tobago,02/01/2014,55834
Russia,02/01/2014,58264
China,02/01/2014,330019
Peru,02/01/2014,136226
United Kingdom,02/01/2014,927321
Spain,02/01/2014,109364
Costa Rica,02/01/2014,229258
Italy,02/01/2014,103410
Bahamas,02/01/2014,175022
Argentina,02/01/2014,125532
Cayman Islands,02/01/2014,65037
South Korea,02/01/2014,375390
New Zealand,02/01/2014,60308
Switzerland,02/01/2014,117067
Ireland,02/01/2014,86648
Taiwan,02/01/2014,144266
Chile,02/01/2014,76247
Panama,02/01/2014,211500
Russia,01/01/2014,78486
Taiwan,01/01/2014,177404
Haiti,01/01/2014,87963
China,01/01/2014,396388
Japan,01/01/2014,969783
New Zealand,01/01/2014,76848
Turkey,01/01/2014,96672
Switzerland,01/01/2014,142115
Germany,01/01/2014,665698
Ireland,01/01/2014,105483
Argentina,01/01/2014,138639
United Arab Emirates,01/01/2014,251499
Iceland,01/01/2014,37351
Colombia,01/01/2014,268776
Venezuela,01/01/2014,127793
France,01/01/2014,406836
Italy,01/01/2014,133249
Hong Kong,01/01/2014,210227
Costa Rica,01/01/2014,269568
Honduras,01/01/2014,74543
United Kingdom,01/01/2014,1152348
Guatemala,01/01/2014,98388
Peru,01/01/2014,145446
Bahamas,01/01/2014,172167
Chile,01/01/2014,86198
Panama,01/01/2014,247033
South Korea,01/01/2014,452752
Spain,01/01/2014,133455
Cayman Islands,01/01/2014,68621
Aruba,01/01/2014,107128
Ecuador,01/01/2014,80295
Denmark,01/01/2014,39517
Trinidad and Tobago,01/01/2014,68395
Netherlands,01/01/2014,300510
Israel,01/01/2014,110494
Jamaica,01/01/2014,244878
Australia,01/01/2014,237714
El Salvador,01/01/2014,152471
Mexico,01/01/2014,1974209
Antilles,01/01/2014,109085
Atlantic Ocean,01/01/2014,28462
Philippines,01/01/2014,76068
Canada,01/01/2014,2050785
Dominican Republic,01/01/2014,449239
Belgium,01/01/2014,81061
Brazil,01/01/2014,517799
Brazil,12/01/2013,485241
New Zealand,12/01/2013,72106
Aruba,12/01/2013,104127
Mexico,12/01/2013,2012906
Trinidad and Tobago,12/01/2013,80123
Iceland,12/01/2013,44711
Panama,12/01/2013,241289
Argentina,12/01/2013,125088
South Korea,12/01/2013,424590
Japan,12/01/2013,940487
Costa Rica,12/01/2013,237253
Atlantic Ocean,12/01/2013,40002
Taiwan,12/01/2013,166070
Russia,12/01/2013,74295
Cayman Islands,12/01/2013,73922
Israel,12/01/2013,108723
Belgium,12/01/2013,95413
Turkey,12/01/2013,97773
Dominican Republic,12/01/2013,453404
Italy,12/01/2013,150123
Venezuela,12/01/2013,143866
Guatemala,12/01/2013,100985
Colombia,12/01/2013,287726
Jamaica,12/01/2013,263739
Honduras,12/01/2013,76079
Switzerland,12/01/2013,157308
Hong Kong,12/01/2013,207228
United Arab Emirates,12/01/2013,253747
Germany,12/01/2013,725090
Philippines,12/01/2013,69968
Spain,12/01/2013,169330
Denmark,12/01/2013,44698
Ecuador,12/01/2013,86397
Netherlands,12/01/2013,333542
United Kingdom,12/01/2013,1315694
Australia,12/01/2013,236086
Bahamas,12/01/2013,207527
Canada,12/01/2013,2112917
France,12/01/2013,476309
Haiti,12/01/2013,88507
Ireland,12/01/2013,140595
China,12/01/2013,377321
Chile,12/01/2013,77704
Antilles,12/01/2013,105233
Peru,12/01/2013,143497
El Salvador,12/01/2013,165260
Panama,11/01/2013,184793
Dominican Republic,11/01/2013,356916
New Zealand,11/01/2013,59806
Venezuela,11/01/2013,132415
Honduras,11/01/2013,53908
Belgium,11/01/2013,76286
Antilles,11/01/2013,84973
United Arab Emirates,11/01/2013,210943
Italy,11/01/2013,144893
Aruba,11/01/2013,98365
Hong Kong,11/01/2013,202162
Turkey,11/01/2013,91004
Atlantic Ocean,11/01/2013,42219
Jamaica,11/01/2013,212957
South Korea,11/01/2013,404086
Costa Rica,11/01/2013,155131
Argentina,11/01/2013,110801
Denmark,11/01/2013,39800
Israel,11/01/2013,107492
Taiwan,11/01/2013,148191
Cayman Islands,11/01/2013,59286
Guatemala,11/01/2013,95517
Netherlands,11/01/2013,305269
Spain,11/01/2013,169279
Peru,11/01/2013,127306
Mexico,11/01/2013,1618588
United Kingdom,11/01/2013,1189555
China,11/01/2013,333131
Trinidad and Tobago,11/01/2013,63901
Haiti,11/01/2013,67140
Germany,11/01/2013,681702
Bahamas,11/01/2013,164539
Chile,11/01/2013,62093
Russia,11/01/2013,69705
Japan,11/01/2013,906649
France,11/01/2013,415774
Philippines,11/01/2013,60728
Ireland,11/01/2013,139510
Colombia,11/01/2013,225067
Australia,11/01/2013,214309
El Salvador,11/01/2013,130843
Switzerland,11/01/2013,135762
Brazil,11/01/2013,408627
Iceland,11/01/2013,47324
Canada,11/01/2013,1892053
Ecuador,11/01/2013,77120
Russia,10/01/2013,80760
Belgium,10/01/2013,97937
United Kingdom,10/01/2013,1523944
France,10/01/2013,592382
Mexico,10/01/2013,1421582
Switzerland,10/01/2013,171564
Trinidad and Tobago,10/01/2013,63345
Netherlands,10/01/2013,414488
Japan,10/01/2013,965328
Canada,10/01/2013,2016138
Cayman Islands,10/01/2013,40593
Aruba,10/01/2013,86698
China,10/01/2013,370334
South Korea,10/01/2013,415609
Dominican Republic,10/01/2013,326393
Italy,10/01/2013,261664
New Zealand,10/01/2013,62165
Germany,10/01/2013,911997
Panama,10/01/2013,180196
Atlantic Ocean,10/01/2013,48008
Honduras,10/01/2013,48415
Taiwan,10/01/2013,149105
Australia,10/01/2013,228706
Denmark,10/01/2013,54251
Colombia,10/01/2013,220669
Peru,10/01/2013,139681
Ecuador,10/01/2013,78848
Haiti,10/01/2013,65903
Bahamas,10/01/2013,138140
Chile,10/01/2013,63488
Jamaica,10/01/2013,194934
Spain,10/01/2013,222917
Venezuela,10/01/2013,142654
Brazil,10/01/2013,416894
Antilles,10/01/2013,61687
Guatemala,10/01/2013,73104
El Salvador,10/01/2013,108173
Israel,10/01/2013,126331
United Arab Emirates,10/01/2013,200650
Costa Rica,10/01/2013,107343
Argentina,10/01/2013,115537
Philippines,10/01/2013,58006
Ireland,10/01/2013,175660
Turkey,10/01/2013,112587
Iceland,10/01/2013,56936
Hong Kong,10/01/2013,207932
United Kingdom,09/01/2013,1588221
Denmark,09/01/2013,56526
Canada,09/01/2013,1820579
Taiwan,09/01/2013,144493
United Arab Emirates,09/01/2013,204509
Antilles,09/01/2013,53490
Russia,09/01/2013,83121
El Salvador,09/01/2013,100976
Israel,09/01/2013,110510
France,09/01/2013,640589
Brazil,09/01/2013,388721
Atlantic Ocean,09/01/2013,46421
Japan,09/01/2013,993676
Cayman Islands,09/01/2013,31000
Aruba,09/01/2013,76691
Mexico,09/01/2013,1235273
Ireland,09/01/2013,209991
Spain,09/01/2013,251014
Haiti,09/01/2013,68323
Bahamas,09/01/2013,121293
China,09/01/2013,384047
Philippines,09/01/2013,50427
Switzerland,09/01/2013,174030
Belgium,09/01/2013,107037
Venezuela,09/01/2013,135375
Hong Kong,09/01/2013,191579
South Korea,09/01/2013,398312
Argentina,09/01/2013,116801
Ecuador,09/01/2013,78835
Trinidad and Tobago,09/01/2013,68420
Colombia,09/01/2013,211010
Dominican Republic,09/01/2013,329401
Germany,09/01/2013,991252
New Zealand,09/01/2013,68007
Turkey,09/01/2013,116902
Peru,09/01/2013,133880
Italy,09/01/2013,283758
Panama,09/01/2013,189331
Australia,09/01/2013,246062
Costa Rica,09/01/2013,107057
Chile,09/01/2013,62863
Guatemala,09/01/2013,63763
Honduras,09/01/2013,48764
Iceland,09/01/2013,67021
Jamaica,09/01/2013,178509
Netherlands,09/01/2013,455026
Denmark,08/01/2013,76043
Jamaica,08/01/2013,318816
Germany,08/01/2013,1085974
Trinidad and Tobago,08/01/2013,98911
Venezuela,08/01/2013,131254
Australia,08/01/2013,231147
Guatemala,08/01/2013,98297
Philippines,08/01/2013,63717
Atlantic Ocean,08/01/2013,80401
Russia,08/01/2013,91893
Aruba,08/01/2013,110866
Belgium,08/01/2013,116150
Mexico,08/01/2013,1778663
Switzerland,08/01/2013,201716
Argentina,08/01/2013,108920
United Arab Emirates,08/01/2013,244911
Peru,08/01/2013,148848
Spain,08/01/2013,306445
Ecuador,08/01/2013,97790
Canada,08/01/2013,2398059
Colombia,08/01/2013,268982
Antilles,08/01/2013,90351
United Kingdom,08/01/2013,1710642
Netherlands,08/01/2013,516261
Ireland,08/01/2013,250592
Turkey,08/01/2013,140361
Taiwan,08/01/2013,192757
Panama,08/01/2013,209467
Bahamas,08/01/2013,260341
Iceland,08/01/2013,98523
Cayman Islands,08/01/2013,66210
France,08/01/2013,736430
Costa Rica,08/01/2013,181979
South Korea,08/01/2013,494910
Italy,08/01/2013,312702
El Salvador,08/01/2013,147991
China,08/01/2013,429417
Haiti,08/01/2013,100173
Hong Kong,08/01/2013,212972
New Zealand,08/01/2013,63791
Honduras,08/01/2013,76285
Chile,08/01/2013,67837
Israel,08/01/2013,136622
Brazil,08/01/2013,415693
Japan,08/01/2013,1130994
Dominican Republic,08/01/2013,533239
Russia,07/01/2013,94532
Argentina,07/01/2013,122253
Panama,07/01/2013,218022
El Salvador,07/01/2013,158756
Israel,07/01/2013,135422
Jamaica,07/01/2013,348680
Colombia,07/01/2013,281319
Canada,07/01/2013,2223955
Guatemala,07/01/2013,114600
Hong Kong,07/01/2013,203566
South Korea,07/01/2013,458226
Venezuela,07/01/2013,125122
New Zealand,07/01/2013,71593
Honduras,07/01/2013,88745
Brazil,07/01/2013,441882
United Arab Emirates,07/01/2013,236982
Chile,07/01/2013,67421
Costa Rica,07/01/2013,225026
Ireland,07/01/2013,248692
Belgium,07/01/2013,112862
Bahamas,07/01/2013,270384
Atlantic Ocean,07/01/2013,77016
Germany,07/01/2013,1067631
Denmark,07/01/2013,76085
Mexico,07/01/2013,2022958
Italy,07/01/2013,327715
China,07/01/2013,398070
Taiwan,07/01/2013,180705
Trinidad and Tobago,07/01/2013,89911
United Kingdom,07/01/2013,1662265
Iceland,07/01/2013,98172
Dominican Republic,07/01/2013,585690
Japan,07/01/2013,1030876
Switzerland,07/01/2013,200854
Haiti,07/01/2013,105510
Spain,07/01/2013,308131
Ecuador,07/01/2013,89318
Cayman Islands,07/01/2013,75597
Philippines,07/01/2013,77070
Turkey,07/01/2013,142348
Netherlands,07/01/2013,499252
Antilles,07/01/2013,96036
Peru,07/01/2013,151993
France,07/01/2013,734507
Australia,07/01/2013,236747
Aruba,07/01/2013,116931
Panama,06/01/2013,194963
Spain,06/01/2013,286930
Italy,06/01/2013,317588
Switzerland,06/01/2013,189570
Atlantic Ocean,06/01/2013,70162
Denmark,06/01/2013,68620
Ireland,06/01/2013,235368
Guatemala,06/01/2013,105341
Ecuador,06/01/2013,83059
Colombia,06/01/2013,251976
Peru,06/01/2013,136992
Aruba,06/01/2013,100159
France,06/01/2013,682744
Turkey,06/01/2013,131269
South Korea,06/01/2013,424871
Israel,06/01/2013,136485
Bahamas,06/01/2013,243841
United Kingdom,06/01/2013,1670750
Russia,06/01/2013,92889
Canada,06/01/2013,1985938
Haiti,06/01/2013,90785
China,06/01/2013,394237
Jamaica,06/01/2013,298464
Philippines,06/01/2013,75347
Netherlands,06/01/2013,484798
Cayman Islands,06/01/2013,67595
Dominican Republic,06/01/2013,484775
United Arab Emirates,06/01/2013,237617
Iceland,06/01/2013,90244
Chile,06/01/2013,58260
Taiwan,06/01/2013,167221
Mexico,06/01/2013,1753337
Trinidad and Tobago,06/01/2013,68223
Australia,06/01/2013,231114
Argentina,06/01/2013,116051
Venezuela,06/01/2013,112989
Brazil,06/01/2013,382639
Honduras,06/01/2013,84424
Costa Rica,06/01/2013,187891
Antilles,06/01/2013,86135
Belgium,06/01/2013,103122
New Zealand,06/01/2013,62729
Japan,06/01/2013,1017384
Hong Kong,06/01/2013,203132
El Salvador,06/01/2013,133964
Germany,06/01/2013,1038962
Venezuela,05/01/2013,104276
South Korea,05/01/2013,418066
Ireland,05/01/2013,193152
El Salvador,05/01/2013,115311
Mexico,05/01/2013,1607541
Israel,05/01/2013,124240
Switzerland,05/01/2013,191078
Peru,05/01/2013,138833
Dominican Republic,05/01/2013,411436
Turkey,05/01/2013,123170
Argentina,05/01/2013,115924
Russia,05/01/2013,81851
Trinidad and Tobago,05/01/2013,63630
Canada,05/01/2013,2245389
Belgium,05/01/2013,92138
Aruba,05/01/2013,96196
Cayman Islands,05/01/2013,62751
Brazil,05/01/2013,410251
Germany,05/01/2013,974248
Ecuador,05/01/2013,79453
Japan,05/01/2013,917464
Hong Kong,05/01/2013,205102
China,05/01/2013,389313
Iceland,05/01/2013,57346
Antilles,05/01/2013,85090
United Kingdom,05/01/2013,1553605
Italy,05/01/2013,246817
Panama,05/01/2013,177083
Atlantic Ocean,05/01/2013,60682
United Arab Emirates,05/01/2013,222246
Bahamas,05/01/2013,211289
Spain,05/01/2013,256937
Australia,05/01/2013,224183
New Zealand,05/01/2013,59078
Jamaica,05/01/2013,255044
Netherlands,05/01/2013,444197
Taiwan,05/01/2013,157543
Haiti,05/01/2013,78099
Denmark,05/01/2013,56837
France,05/01/2013,583436
Chile,05/01/2013,61831
Honduras,05/01/2013,58771
Colombia,05/01/2013,213501
Costa Rica,05/01/2013,157417
Guatemala,05/01/2013,76498
Philippines,05/01/2013,75553
Guatemala,04/01/2013,81775
Hong Kong,04/01/2013,192090
Atlantic Ocean,04/01/2013,43930
Japan,04/01/2013,818947
Ireland,04/01/2013,148456
Argentina,04/01/2013,116216
China,04/01/2013,343132
Switzerland,04/01/2013,183300
Taiwan,04/01/2013,141640
Haiti,04/01/2013,83339
Mexico,04/01/2013,1662528
Australia,04/01/2013,215325
Bahamas,04/01/2013,231165
Denmark,04/01/2013,44752
Costa Rica,04/01/2013,195167
Iceland,04/01/2013,42975
Philippines,04/01/2013,72216
Israel,04/01/2013,113940
Peru,04/01/2013,124279
El Salvador,04/01/2013,114668
Chile,04/01/2013,60392
Russia,04/01/2013,70343
Ecuador,04/01/2013,74788
Venezuela,04/01/2013,98290
Belgium,04/01/2013,88640
Antilles,04/01/2013,97892
Brazil,04/01/2013,372884
Spain,04/01/2013,218791
Dominican Republic,04/01/2013,410767
Panama,04/01/2013,165948
New Zealand,04/01/2013,55044
Netherlands,04/01/2013,380999
Trinidad and Tobago,04/01/2013,69704
Turkey,04/01/2013,104163
United Kingdom,04/01/2013,1371835
South Korea,04/01/2013,360175
Italy,04/01/2013,183320
Germany,04/01/2013,794762
United Arab Emirates,04/01/2013,187769
Canada,04/01/2013,2216884
France,04/01/2013,504899
Aruba,04/01/2013,107328
Colombia,04/01/2013,193154
Cayman Islands,04/01/2013,68188
Honduras,04/01/2013,57139
Jamaica,04/01/2013,269241
South Korea,03/01/2013,374733
Spain,03/01/2013,180859
Atlantic Ocean,03/01/2013,37424
Costa Rica,03/01/2013,258134
Turkey,03/01/2013,87267
New Zealand,03/01/2013,53843
United Kingdom,03/01/2013,1313987
El Salvador,03/01/2013,133555
Taiwan,03/01/2013,151717
United Arab Emirates,03/01/2013,213304
Chile,03/01/2013,80904
Jamaica,03/01/2013,284226
Hong Kong,03/01/2013,205672
Peru,03/01/2013,137796
Ecuador,03/01/2013,80932
Netherlands,03/01/2013,333199
Israel,03/01/2013,114633
Dominican Republic,03/01/2013,489274
Denmark,03/01/2013,24181
Belgium,03/01/2013,86853
Brazil,03/01/2013,394385
Panama,03/01/2013,198617
France,03/01/2013,442835
Ireland,03/01/2013,136792
Antilles,03/01/2013,122584
Germany,03/01/2013,760473
Venezuela,03/01/2013,108316
Honduras,03/01/2013,74000
Haiti,03/01/2013,90545
Guatemala,03/01/2013,96768
Mexico,03/01/2013,2020322
Aruba,03/01/2013,120675
Australia,03/01/2013,216469
Switzerland,03/01/2013,176448
Colombia,03/01/2013,212937
Philippines,03/01/2013,72484
Russia,03/01/2013,73964
Trinidad and Tobago,03/01/2013,67213
Iceland,03/01/2013,41792
Canada,03/01/2013,2352400
China,03/01/2013,324392
Bahamas,03/01/2013,265794
Argentina,03/01/2013,134662
