Country,Month,Total Passengers
Bahamas,02/01/2021,38832
Mexico,02/01/2021,1050441
Honduras,02/01/2021,36953
Dominican Republic,02/01/2021,316195
Antilles,02/01/2021,18667
Australia,02/01/2021,4146
Germany,02/01/2021,56764
Colombia,02/01/2021,115182
Ireland,02/01/2021,3855
Ecuador,02/01/2021,47707
Guatemala,02/01/2021,43056
Canada,02/01/2021,61472
Brazil,02/01/2021,35950
Philippines,02/01/2021,11285
Switzerland,02/01/2021,3800
Israel,02/01/2021,6174
Iceland,02/01/2021,625
Cayman Islands,02/01/2021,1161
Belgium,02/01/2021,9132
Denmark,02/01/2021,1738
Russia,02/01/2021,13793
New Zealand,02/01/2021,2484
China,02/01/2021,9625
Trinidad and Tobago,02/01/2021,746
Taiwan,02/01/2021,7805
Spain,02/01/2021,5466
Italy,02/01/2021,4458
Japan,02/01/2021,26980
Panama,02/01/2021,66810
France,02/01/2021,33489
United Arab Emirates,02/01/2021,45245
United Kingdom,02/01/2021,34736
South Korea,02/01/2021,41310
Chile,02/01/2021,27934
Turkey,02/01/2021,67480
Peru,02/01/2021,26244
Netherlands,02/01/2021,28669
Argentina,02/01/2021,24314
Hong Kong,02/01/2021,2670
Atlantic Ocean,02/01/2021,3192
Aruba,02/01/2021,55651
Hong Kong,01/01/2021,4897
South Korea,01/01/2021,63587
Honduras,01/01/2021,47618
Costa Rica,01/01/2021,124940
El Salvador,01/01/2021,106127
Australia,01/01/2021,5253
Switzerland,01/01/2021,15122
Atlantic Ocean,01/01/2021,4912
Netherlands,01/01/2021,64173
Haiti,01/01/2021,61709
Brazil,01/01/2021,64132
Dominican Republic,01/01/2021,446706
Canada,01/01/2021,151676
Aruba,01/01/2021,62879
Jamaica,01/01/2021,123401
Guatemala,01/01/2021,66872
Antilles,01/01/2021,25651
Ecuador,01/01/2021,54859
Bahamas,01/01/2021,40934
Cayman Islands,01/01/2021,1301
Mexico,01/01/2021,1560950
Colombia,01/01/2021,187466
Denmark,01/01/2021,3806
Belgium,01/01/2021,14013
Israel,01/01/2021,19728
Taiwan,01/01/2021,15827
Spain,01/01/2021,10980
Trinidad and Tobago,01/01/2021,1148
Philippines,01/01/2021,11596
Turkey,01/01/2021,86070
New Zealand,01/01/2021,2688
Peru,01/01/2021,48129
United Kingdom,01/01/2021,72103
Italy,01/01/2021,5220
Argentina,01/01/2021,35069
France,01/01/2021,101685
Japan,01/01/2021,45420
Germany,01/01/2021,95397
China,01/01/2021,12825
Ireland,01/01/2021,10953
Iceland,01/01/2021,1321
United Arab Emirates,01/01/2021,49659
Panama,01/01/2021,95263
Russia,01/01/2021,17027
Chile,01/01/2021,35308
Panama,12/01/2020,18495
Chile,12/01/2020,34869
Antilles,12/01/2020,23757
South Korea,12/01/2020,58817
Japan,12/01/2020,51135
Turkey,12/01/2020,86412
Peru,12/01/2020,55406
United Kingdom,12/01/2020,101439
Spain,12/01/2020,11253
Iceland,12/01/2020,1454
Switzerland,12/01/2020,10734
United Arab Emirates,12/01/2020,50134
Ireland,12/01/2020,15635
Brazil,12/01/2020,62902
Dominican Republic,12/01/2020,439471
El Salvador,12/01/2020,114738
Hong Kong,12/01/2020,5240
Canada,12/01/2020,179449
Philippines,12/01/2020,16864
Haiti,12/01/2020,66824
Guatemala,12/01/2020,73558
